城市,康养指数
海口市,100.0
广州市,99.8125
三亚市,97.6798
贵阳市,96.978
杭州市,96.5009
昆明市,96.424
重庆市,95.4246
福州市,95.3999
长沙市,94.7444
雅安市,94.54
南京市,93.7171
深圳市,93.6468
成都市,93.4077
攀枝花市,93.3382
青岛市,92.2244
南宁市,91.9276
珠海市,91.3836
黄山市,90.6752
宁波市,90.5561
武汉市,90.1624
苏州市,89.6103
舟山市,87.7471
秦皇岛市,87.7456
厦门市,87.5706
漳州市,87.1163
宜昌市,86.9738
天津市,86.5803
南昌市,86.4568
滨州市,86.4544
合肥市,86.2066
威海市,85.6343
惠州市,85.1881
无锡市,85.1274
佛山市,84.4045
东莞市,84.0723
上海市,82.6233
恩施州,82.5177
北京市,82.4921
丽江市,82.2571
烟台市,81.641
大连市,81.5111
北海市,81.2899
西安市,80.7387
遵义市,80.4648
六盘水市,80.1207
湖州市,80.0672
南通市,79.791
常州市,79.7451
张家界市,79.6174
沈阳市,79.391
