名次,城市,康养指数,所属省份
1,海口市,100.0000,海南
2,广州市,99.8125,广东
3,三亚市,97.6798,海南
4,贵阳市,96.9780,贵州
5,杭州市,96.5009,浙江
6,昆明市,96.4240,云南
7,重庆市,95.4246,重庆
8,福州市,95.3999,福建
9,长沙市,94.7444,湖南
10,雅安市,94.5400,四川
11,南京市,93.7171,江苏
12,深圳市,93.6468,广东
13,成都市,93.4077,四川
14,攀枝花市,93.3382,四川
15,青岛市,92.2244,山东
16,南宁市,91.9276,广西
17,珠海市,91.3836,广东
18,黄山市,90.6752,安徽
19,宁波市,90.5561,浙江
20,武汉市,90.1624,湖北
21,苏州市,89.6103,江苏
22,舟山市,87.7471,浙江
23,秦皇岛市,87.7456,河北
24,厦门市,87.5706,福建
25,漳州市,87.1163,福建
26,宜昌市,86.9738,湖北
27,天津市,86.5803,天津
28,南昌市,86.4568,江西
29,滨州市,86.4544,山东
30,合肥市,86.2066,安徽
31,威海市,85.6343,山东
32,惠州市,85.1881,广东
33,无锡市,85.1274,江苏
34,佛山市,84.4045,广东
35,东莞市,84.0723,广东
36,上海市,82.6233,上海
37,恩施州,82.5177,湖北
38,北京市,82.4921,北京
39,丽江市,82.2571,云南
40,烟台市,81.6410,山东
41,大连市,81.5111,辽宁
42,北海市,81.2899,广西
43,西安市,80.7387,陕西
44,遵义市,80.4648,贵州
45,六盘水市,80.1207,贵州
46,湖州市,80.0672,浙江
47,南通市,79.7910,江苏
48,常州市,79.7451,江苏
49,张家界市,79.6174,湖南
50,沈阳市,79.3910,辽宁