指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
医疗卫生机构数(个),6514,6404,6308,5897,5597,5293,5144,5016,5016,4984
医院床位数（个）,17.5,16.53,16.04,15.22,14.65,13.9,13.46,12.92,12.28,11.75
公园个数(个),552,473,434,386,319,250,224,217,165,161
建成区绿化覆盖率(%),37.8,38.1,37.7,37.3,36.8,36.2,39.1,38.6,38.5,38.4
公园绿地面积（万顷）,2.35,2.3,2.25,2.2,2.12,2.06,1.98,1.9,1.84,1.78
文化机构（个）,85,116,116,107,98,100,98,99,99,103
老龄人口占比（%）,14.31607747,13.78193035,13.20574103,12.64523761,12.06136597,11.5162092,10.98096066,10.49079946,10.05342091,9.666198738
养老机构数量（个）,700,729,730,709,724,728,703,700,699,660
养老床位（万张）,517.2,518.3,503.6,488.2,438.8,379.4,383.5,378.8,358.2,390.2
常驻人口（万人）,2487.45,2475.89,2489.43,2488.36,2481.34,2475.39,2466.28,2467.37,2457.59,2467.06
人均寿命（岁）,84.18,83.66,83.63,82.55,82.29,81.75,81.25,80.98,80.47,80.26
地区生产总值（亿）,47218.7,44809.1,43653.2,38963.3,37987.6,36011.8,32925,29887,26887,25269.8
人均生产总值(万元),19.03,18.05,17.54,15，68,15.33,14.57,13.35,12.14,10.92,10.28
用水总量（亿立方米）,104.8,105.7,105.8,97.5,100.9,103.4,104.8,104.8,103.8,105.9
空气质量指数（%）,87.70%,87.10%,87.10%,87.20%,84.70%,81.10%,75.80%,75.40%,70.70%,77.00%
平均预期寿命,,,,82.55,,,,,,
