地    区,总合计,合计男,合计女,0岁小计,0岁男,0岁女,1-4岁小计,1-4岁男,1-4岁女,5-9岁小计,5-9岁男,5-9岁女,10-14岁小计,10-14岁男,10-14岁女,15-19岁小计,15-19岁男,15-19岁女,20-24岁小计,20-24岁男,20-24岁女,25-29岁小计,25-29岁男,25-29岁女,30-34岁小计,30-34岁男,30-34岁女,35-39岁小计,35-39岁男,35-39岁女,40-44岁小计,40-44岁男,40-44岁女,45-49岁小计,45-49岁男,45-49岁女,50-54岁小计,50-54岁男,50-54岁女,55-59岁小计,55-59岁男,55-59岁女,60-64岁小计,60-64岁男,60-64岁女,65-69岁小计,65-69岁男,65-69岁女,70-74岁小计,70-74岁男,70-74岁女,75-79岁小计,75-79岁男,75-79岁女,80-84岁小计,80-84岁男,80-84岁女,85-89岁小计,85-89岁男,85-89岁女,90-94岁小计,90-94岁男,90-94岁女,95-99岁小计,95-99岁男,95-99岁女,100岁及以上小计,100岁及以上男,100岁及以上女
全    国,55566004,28114458,27451546,356224,187090,169134,2421970,1273763,1148207,3068696,1633959,1434737,2581153,1378650,1202503,3200858,1682012,1518846,3653012,1865344,1787668,4251183,2171578,2079605,5905083,2982097,2922986,4772139,2419603,2352536,4161673,2113207,2048466,4587791,2334395,2253396,4346645,2185928,2160717,3674992,1824170,1850822,2676434,1312078,1364356,2412918,1152613,1260305,1495476,709144,786332,910660,416427,494233,631454,280897,350557,329421,140447,188974,105560,43216,62344,20495,7225,13270,2167,615,1552
北    京,1690884,843767,847117,9789,5133,4656,63444,32862,30582,74441,38956,35485,50565,26391,24174,48902,25654,23248,101188,51362,49826,142408,71742,70666,189659,95259,94400,175602,88162,87440,129473,66272,63201,121483,61698,59785,116822,58829,57993,123000,61030,61970,111923,53669,58254,97001,45697,51304,52424,24662,27762,32288,14326,17962,28296,12184,16112,16104,7184,8920,5055,2275,2780,932,390,542,85,30,55
天    津,944867,476846,468021,5018,2589,2429,34217,17686,16531,44620,23516,21104,36715,19524,17191,41740,22332,19408,54842,28934,25908,59721,30877,28844,96490,49210,47280,89561,45627,43934,66401,33770,32631,64543,32829,31714,64481,32633,31848,73230,36579,36651,71802,35086,36716,61949,29527,32422,35834,16932,18902,20233,9106,11127,13453,5825,7628,7201,3112,4089,2336,963,1373,434,175,259,46,14,32
河    北,2126601,1054891,1071710,14138,7296,6842,100561,52499,48062,138317,73308,65009,117072,61645,55427,142823,74545,68278,109876,54536,55340,127723,62818,64905,222759,108385,114374,192437,94757,97680,155005,77143,77862,157437,77381,80056,154572,75844,78728,136914,67067,69847,113017,55282,57735,103240,49173,54067,63493,29254,34239,36298,16398,19900,24902,10933,13969,11818,4928,6890,3518,1439,2079,635,244,391,46,16,30
山    西,1250681,620139,630542,8636,4433,4203,56375,29112,27263,71857,37158,34699,66571,34349,32222,77470,38396,39074,78504,37248,41256,91415,44406,47009,123583,60580,63003,107558,53513,54045,90431,44864,45567,107656,53117,54539,98273,49156,49117,84839,42734,42105,65135,33042,32093,50198,24614,25584,29684,14081,15603,19009,8685,10324,14544,6467,8077,6789,3145,3644,1847,904,943,287,128,159,20,7,13
内 蒙 古,902670,448069,454601,5951,3028,2923,36873,18973,17900,46986,24587,22399,41391,21420,19971,44150,22419,21731,51356,25264,26092,61995,30675,31320,89348,44401,44947,79806,40063,39743,68452,34071,34381,82679,40971,41708,77258,38589,38669,67912,33915,33997,50975,25164,25811,38771,18397,20374,23417,10420,12997,16676,7124,9552,12198,5504,6694,4922,2275,2647,1331,691,640,205,110,95,18,8,10
辽    宁,2448098,1207301,1240797,11284,5778,5506,75195,38739,36456,100504,52275,48229,85625,44916,40709,98648,50944,47704,113763,57405,56358,137739,68768,68971,232114,115376,116738,207047,103102,103945,192854,96326,96528,200520,99492,101028,202695,99680,103015,218371,107568,110803,192269,93380,98889,161394,76719,84675,89375,41546,47829,57018,25337,31681,41670,17102,24568,21604,9176,12428,7033,3113,3920,1258,526,732,118,33,85
吉    林,939957,456993,482964,4042,2059,1983,28249,14531,13718,39676,20863,18813,39024,20399,18625,42201,21295,20906,41642,20355,21287,56506,27180,29326,89106,43468,45638,75127,36970,38157,77481,38149,39332,82612,40447,42165,84474,41146,43328,79768,38831,40937,65561,31367,34194,57474,26577,30897,34264,15308,18956,20744,8725,12019,13688,5782,7906,6119,2545,3574,1855,847,1008,304,125,179,40,24,16
黑 龙 江,1344586,658916,685670,4717,2424,2293,30242,15730,14512,45512,23470,22042,47916,24728,23188,63429,31858,31571,72112,35597,36515,72578,35892,36686,117603,57979,59624,109423,54000,55423,107775,53528,54247,129953,64672,65281,126253,62667,63586,124486,61608,62878,98481,47626,50855,81769,38172,43597,48787,22011,26776,29531,12233,17298,21551,9079,12472,9372,4205,5167,2624,1242,1382,426,181,245,46,14,32
上    海,1916434,970076,946358,8119,4261,3858,57020,29570,27450,74747,39081,35666,54497,28695,25802,53514,28922,24592,114938,60301,54637,172343,88708,83635,211804,109174,102630,183858,93642,90216,143865,73842,70023,129490,66309,63181,126184,64374,61810,128148,63988,64160,141734,68964,72770,131837,64188,67649,79547,39942,39605,41143,19961,21182,28426,12903,15523,23703,9421,14282,9101,3097,6004,2178,665,1513,238,68,170
