city,best_month,second_best_month,recommended_size,frequency,suitable_months,total_score
上海,9,,40000,每年1次,"[9, 10, 11]",4.955003041791813
广州,7,,40000,每年1次,"[7, 8, 9]",4.722913623300103
成都,3,,40000,每年1次,"[3, 7, 6]",3.9718826582314297
南京,6,,40000,每年1次,"[6, 5, 7]",3.605588495203595
武汉,7,,40000,每年1次,"[7, 6, 5]",3.526440072501364
杭州,7,,40000,每年1次,"[7, 10, 3]",3.4910002900428108
西安,7,,40000,每年1次,"[7, 5, 6]",3.444289403895988
郑州,3,,40000,每年1次,"[3, 6, 4]",3.336769127750774
重庆,7,,40000,每年1次,"[7, 6, 5]",2.8144969796535944
苏州,11,,40000,每年1次,"[11, 7, 9]",2.7755552690478957
福州,7,,29481,每年1次,"[7, 6, 8]",2.49516874599329
青岛,7,,40000,每年1次,"[7, 6, 5]",2.43248937039892
无锡,6,,21201,每年1次,"[6, 3, 11]",2.427327969074669
石家庄,7,,27277,每年1次,"[7, 6, 5]",2.2774511923412084
昆明,5,,27793,每年1次,"[5, 6, 4]",2.216185349481874
南昌,6,,39252,每年1次,"[6, 10, 1]",2.205215462972004
济南,9,,40000,每年1次,"[9, 6, 8]",2.1248941405358095
徐州,9,,10143,每年1次,"[9, 7, 6]",2.0020262718703403
兰州,6,,12925,每年1次,"[6, 5, 2]",1.8625088798054414
东莞,9,,10000,每年1次,"[9, 7, 8]",1.8572175480702429
温州,7,,10000,每年1次,"[7, 6, 5]",1.8494883687230157
南通,7,,10000,每年1次,"[7, 5, 6]",1.7373456877574296
厦门,7,,24468,每年1次,"[7, 11, 5]",1.6583427162039035
常州,7,,10000,每年1次,"[7, 10, 9]",1.6006642376239282
呼和浩特,7,,10000,每年1次,"[7, 6, 9]",1.4586650070024418
淮安,1,,10000,每年1次,"[1, 7, 9]",1.4325861563241484
黄石,7,,10000,每年1次,"[7, 6, 3]",1.4114999051147454
洛阳,2,,10000,每年1次,"[2, 1, 6]",1.3813963641836626
佛山,4,,17736,每年1次,"[4, 3, 7]",1.3426805108157216
天水,12,,10000,每年1次,"[12, 11, 9]",1.3237115751096693
文山,1,,10000,每年1次,"[1, 2, 3]",1.3148440118210813
昆 明,7,,27473,每年1次,"[7, 9, 5]",1.2693463021471911
句容,2,,10000,每年1次,"[2, 7, 6]",1.2259275423113012
芜湖,2,,10000,每年1次,"[2, 6, 7]",1.217620907339111
乌鲁木齐,2,,10000,每年1次,"[2, 3, 7]",1.164474688787487
昆 山,3,,10000,每年1次,"[3, 4, 5]",1.073585937909127
昆山,7,,10000,每年1次,"[7, 9, 11]",0.9460049402046546
苏州(昆山),12,,10000,每年1次,"[12, 1, 3]",0.7275393551922573
苏州（昆山）,1,,10000,每年1次,"[1, 2, 3]",0.7254528830949094
"呼和
浩特",12,,10000,每年1次,"[12, 1, 3]",0.7240653791501732
海宁,7,,10000,每年1次,"[7, 10, 11]",0.722990846020039
嘉兴(海宁),1,,10000,每年1次,"[1, 12, 3]",0.7176286127298551
镇江（句容）,1,,10000,每年1次,"[1, 2, 3]",0.7162098117036586
镇江(句容),12,,10000,每年1次,"[12, 1, 3]",0.7117447614153343
珠海,1,,10000,每年1次,"[1, 2, 3]",0.6762783655976795
三亚,1,,10000,每年1次,"[1, 2, 3]",
北京,1,,40000,每年1次,"[1, 2, 3]",
南宁,1,,32887,每年1次,"[1, 2, 3]",
合肥,1,,40000,每年1次,"[1, 2, 3]",
咸阳,1,,10000,每年1次,"[1, 2, 3]",
哈尔滨,1,,32375,每年1次,"[1, 2, 3]",
嘉兴,1,,10000,每年1次,"[1, 2, 3]",
大连,1,,25609,每年1次,"[1, 2, 3]",
天津,1,,40000,每年1次,"[1, 2, 3]",
太原,1,,10000,每年1次,"[1, 2, 3]",
宁波,1,,34645,每年1次,"[1, 2, 3]",
沈阳,1,,40000,每年1次,"[1, 2, 3]",
深圳,1,,40000,每年1次,"[1, 2, 3]",
红河,1,,10000,每年1次,"[1, 2, 3]",
绍兴,1,,10000,每年1次,"[1, 2, 3]",
贵阳,1,,25345,每年1次,"[1, 2, 3]",
长春,1,,24711,每年1次,"[1, 2, 3]",
长沙,1,,40000,每年1次,"[1, 2, 3]",
